"Year","Month","Day","Tmin","Tmax","Tmean","Prec"
1998,1,1,4.22222222222222,8.72222222222222,6.05555555555556,4.572
1998,1,2,4.22222222222222,9.88888888888889,7.77777777777778,0.254
1998,1,3,4.27777777777778,10.8888888888889,7.88888888888889,3.048
1998,1,4,4.38888888888889,9.27777777777778,7.33333333333333,0
1998,1,5,4.72222222222222,8.77777777777778,6.38888888888889,0.254
1998,1,6,4.5,8.27777777777778,5.55555555555556,3.048
1998,1,7,4.77777777777778,12.8888888888889,9.44444444444444,0.254
1998,1,8,7.22222222222222,11.8888888888889,10.3333333333333,2.032
1998,1,9,7.11111111111111,13.1111111111111,10.2222222222222,0
1998,1,10,5.38888888888889,14.2777777777778,8.72222222222222,0
1998,1,11,5.22222222222222,12.8888888888889,7.38888888888889,0
1998,1,12,3.38888888888889,12,7.16666666666667,0
1998,1,13,5,11.5,8.44444444444445,0
1998,1,14,5.38888888888889,11.8888888888889,9.05555555555555,0
1998,1,15,2.72222222222222,8.5,5.77777777777778,0
1998,1,16,6,9.5,7.66666666666667,5.334
1998,1,17,2.88888888888889,7.61111111111111,5.05555555555556,2.286
1998,1,18,1.38888888888889,6.5,4.05555555555555,0
1998,1,19,2.88888888888889,6.77777777777778,5.16666666666667,0.254
1998,1,20,0.722222222222221,5.11111111111111,2.83333333333333,3.81
1998,1,21,-0.88888888888889,3.88888888888889,0.611111111111112,3.302
1998,1,22,-3.22222222222222,3.22222222222222,-0.111111111111111,0
1998,1,23,-3.5,3.38888888888889,1.72222222222222,0
1998,1,24,-0.111111111111111,2.72222222222222,1.16666666666667,0
1998,1,25,-4.5,2,-0.666666666666666,0
1998,1,26,-9.22222222222222,2.77777777777778,-4.27777777777778,0
1998,1,27,-9.77777777777778,2.38888888888889,-5.11111111111111,0
1998,1,28,-10.6111111111111,0,-4.27777777777778,0
1998,1,29,-1.22222222222222,2.11111111111111,0.499999999999999,0.762
1998,1,30,-1.5,2.88888888888889,0.499999999999999,0
1998,1,31,-5.72222222222222,2.61111111111111,-0.166666666666667,2.032
1998,2,1,-10.2777777777778,-0.777777777777777,-5.55555555555556,0
1998,2,2,-13,1.22222222222222,-4.83333333333333,0
1998,2,3,-4.27777777777778,4.77777777777778,0.666666666666668,0.508
1998,2,4,-7.72222222222222,6.22222222222222,-2.27777777777778,0
1998,2,5,-5.88888888888889,6.22222222222222,1.77777777777778,0
1998,2,6,0.999999999999998,7.61111111111111,4.16666666666667,0
1998,2,7,-0.777777777777777,5.22222222222222,1.88888888888889,0
1998,2,8,-1,8.72222222222222,3.27777777777778,1.016
1998,2,9,1.72222222222222,12.7222222222222,5.72222222222222,0
1998,2,10,0.611111111111112,14.5,6.66666666666667,0
1998,2,11,-1.38888888888889,14.6111111111111,7.11111111111111,0
1998,2,12,5,17.2777777777778,10.1111111111111,0
1998,2,13,6.61111111111111,14.2777777777778,10.7777777777778,0
1998,2,14,1.38888888888889,17.8888888888889,8.11111111111111,0
1998,2,15,-0.277777777777778,17.2777777777778,8.83333333333333,0
1998,2,16,8.11111111111111,13,10.2777777777778,0
1998,2,17,2.72222222222222,9.88888888888889,5.88888888888889,2.794
1998,2,18,-1.88888888888889,14,5.72222222222222,0.254
1998,2,19,0.611111111111112,9.88888888888889,6.77777777777778,0
1998,2,20,4.27777777777778,15.6111111111111,9.44444444444444,0
1998,2,21,7.38888888888889,15.7222222222222,11.6666666666667,0
1998,2,22,6.5,14.7777777777778,8.72222222222222,1.778
1998,2,23,2.61111111111111,11.2777777777778,6.16666666666667,1.778
1998,2,24,5.38888888888889,11.2777777777778,9.05555555555555,0.254
1998,2,25,7.72222222222222,11.2777777777778,9.55555555555556,0.508
1998,2,26,6.77777777777778,12.3888888888889,9.22222222222222,0
1998,2,27,6.27777777777778,9.61111111111111,8.27777777777778,0
1998,2,28,0,9.72222222222222,5.61111111111111,0
1998,3,1,-0.111111111111111,6.88888888888889,3.22222222222222,3.302
1998,3,2,1.88888888888889,8.88888888888889,7,4.572
1998,3,3,7.22222222222222,14,10.6111111111111,2.032
1998,3,4,6.38888888888889,18.2777777777778,13.3333333333333,3.048
1998,3,5,3.77777777777778,10.5,5.77777777777778,8.382
1998,3,6,3.27777777777778,10.2222222222222,7.38888888888889,5.334
1998,3,7,8.77777777777778,12.3888888888889,10.2777777777778,11.938
1998,3,8,-1,10.6111111111111,5.83333333333333,3.302
1998,3,9,-5.38888888888889,6.11111111111111,-0.222222222222221,7.112
1998,3,10,-4.11111111111111,9.5,2.61111111111111,0.508
1998,3,11,2.88888888888889,8.11111111111111,4.5,0
1998,3,12,-1.27777777777778,8.72222222222222,3.22222222222222,1.27
1998,3,13,-3.72222222222222,7.27777777777778,2.61111111111111,0.762
1998,3,14,4.72222222222222,8.88888888888889,6.88888888888889,0.508
1998,3,15,6,9.11111111111111,7.55555555555556,2.032
1998,3,16,7.38888888888889,11.3888888888889,8.72222222222222,3.81
1998,3,17,7.27777777777778,10.3888888888889,8.66666666666667,0.254
1998,3,18,6.22222222222222,11.7222222222222,9.22222222222222,0
1998,3,19,2.27777777777778,10.7222222222222,5.88888888888889,0
1998,3,20,0.999999999999998,8.5,5.22222222222222,0.254
1998,3,21,0.999999999999998,10.3888888888889,4.83333333333333,6.096
1998,3,22,-1.27777777777778,7.38888888888889,3.5,0
1998,3,23,0,5.88888888888889,3.66666666666667,1.524
1998,3,24,-4.5,10.7777777777778,3.83333333333333,0.508
1998,3,25,-2.88888888888889,11.5,4.27777777777778,0
1998,3,26,0.499999999999999,13.2222222222222,6.55555555555555,0
1998,3,27,5.11111111111111,11.6111111111111,8.44444444444445,2.794
1998,3,28,8.5,16.6111111111111,11.8333333333333,0.508
1998,3,29,8.72222222222222,23.3888888888889,15.4444444444444,0
1998,3,30,12.1111111111111,25,17.8333333333333,0
1998,3,31,9.22222222222222,20.3888888888889,14.1111111111111,0
1998,4,1,6.38888888888889,17.1111111111111,12.1111111111111,0
1998,4,2,9.77777777777778,18.8888888888889,12.6111111111111,7.874
1998,4,3,9.22222222222222,15.2222222222222,11.5,4.826
1998,4,4,7.38888888888889,12.8888888888889,9.83333333333334,7.112
1998,4,5,7.38888888888889,14.5,10.3888888888889,0
1998,4,6,6.5,15.7222222222222,9.72222222222222,0
1998,4,7,5,8.88888888888889,7.11111111111111,4.318
1998,4,8,4.61111111111111,11.5,7.94444444444444,10.16
1998,4,9,3.27777777777778,14.2777777777778,8.38888888888889,0.508
1998,4,10,4.38888888888889,11.3888888888889,6.55555555555555,2.032
1998,4,11,4.61111111111111,10.7222222222222,7.55555555555556,4.064
1998,4,12,2.72222222222222,10.5,6.16666666666667,0.508
1998,4,13,-1.22222222222222,9.38888888888889,3.5,0.254
1998,4,14,-1.11111111111111,9.77777777777778,4.11111111111111,0
1998,4,15,2.72222222222222,9.72222222222222,6.72222222222222,0.508
1998,4,16,3.38888888888889,12,7.27777777777778,2.032
1998,4,17,4.38888888888889,12.2222222222222,7.77777777777778,0
1998,4,18,2.11111111111111,13.3888888888889,7.55555555555556,1.27
1998,4,19,5.77777777777778,12.6111111111111,8.22222222222222,5.08
1998,4,20,5.61111111111111,11.5,8.27777777777778,1.016
1998,4,21,6.22222222222222,16.7777777777778,11,9.398
1998,4,22,9.11111111111111,21.5,14.5,0
1998,4,23,9.61111111111111,23.7777777777778,16.3333333333333,0
1998,4,24,11.3888888888889,15.8888888888889,13.0555555555556,0
1998,4,25,11,17.2222222222222,13.8333333333333,0.508
1998,4,26,9,15,11.6666666666667,0
1998,4,27,8.77777777777778,13.6111111111111,10.3888888888889,4.064
1998,4,28,8.11111111111111,14.3888888888889,10.0555555555556,2.286
1998,4,29,6.11111111111111,18.2777777777778,11.7777777777778,0
1998,4,30,9.22222222222222,21.2222222222222,14.2777777777778,0
